Code,Description,Unit,,,Category
BIDITM,Awnings & Patio Covers (Bid Item),EA,#ERROR!,$0.00,
CARPP,"Carport - pre-manufactured freestanding, 7-8 ft high",EA,&,$6.13,
CARPP>,"Carport - pre-manufactured freestanding, 9-10 ft high",SF,&,$6.65,
CARPP>>,"Carport - pre-manufactured freestanding, 11-14 ft high",SF,&,$7.27,
CARPT,Carport - Freestanding metal - Moderate load,SF,&,$12.39,
CARPT-,Carport - Freestanding metal - Light load,SF,&,$10.99,
CARPT+,Carport - Freestanding metal - Heavy load,SF,&,$15.30,
LAB,Awning & Patio Cover Installer - per hour,HR,#ERROR!,$57.78,
LABL,Awning & Patio Cover - General Laborer - per hour,HR,#ERROR!,$30.21,
MISC,AWNINGS & PATIO COVERS,,#ERROR!,$0.00,
MN,Awning - Labor Minimum,EA,#ERROR!,$144.45,
PC,Patio Cover - Attached - Aluminum - Moderate Load,SF,&,$11.98,
PC-,Patio Cover - Attached - Aluminum - Light load,SF,&,$10.33,
PC--,Patio Cover - Attached - Aluminum - No load,SF,&,$9.41,
PC+,Patio Cover - Attached - Aluminum - Heavy Load,SF,&,$15.65,
PCC,Patio Cover - Attached - Canvas (fixed),SF,&,$14.23,
PCC+,Patio Cover - Attached - Canvas (fixed) - High grade,SF,&,$16.74,
PCCFAB,Patio Cover - Fabric replacement,SF,&,$5.06,
PCCM,Add on for retractable awning motor,EA,#ERROR!,$495.80,
PCCR,Patio Cover - Attached - Canvas (retractable),SF,&,$12.58,
PCCR+,Patio Cover - Attached - Canvas (retractable) - High grade,SF,&,$13.58,
PCDK,Patio Cover - Roof Decking only - Moderate load,SF,&,$5.93,
PCDK-,Patio Cover - Roof Decking only - Light load,SF,&,$5.72,
PCDK--,Patio Cover - Roof Decking only - No load,SF,&,$4.68,
PCDK+,Patio Cover - Roof Decking only - Heavy load,SF,&,$7.06,
PCDKINS,Patio Cover - Insulated - Roof Decking only,SF,&,$10.02,
PCDKRS,Patio Cover - Roof Decking - Detach & reset,SF,#ERROR!,$3.74,
PCFACG,Patio Cover - Fascia end - Guttered,LF,&,$8.18,
PCFACN,Patio Cover - Fascia end - Non-guttered,LF,&,$5.58,
PCFACRS,Patio Cover - Fascia end - Detach & reset,LF,#ERROR!,$4.18,
PCINS,Patio Cover - Insulated - Kit,SF,&,$15.53,
PCRS,Patio Cover - Attached - Aluminum - Detach & reset,SF,#ERROR!,$6.93,
PEG,Patio/pool Enclosure - Half Glass,SF,&,$21.52,
PEG-,Greenhouse Enclosure - Full Glass,SF,&,$17.50,
PEG+,Patio/pool Enclosure - Full Glass,SF,&,$22.81,
PEH,Patio/pool Enclosure - Half Screen,SF,&,$9.95,
PES,Patio/pool Enclosure - Full Screen,SF,&,$5.22,
PES-,Patio/pool Enclosure - Full Screen - Standard grade,SF,&,$3.48,
PES+,Patio/pool Enclosure - Full Screen - High grade,SF,&,$7.06,
PESF,Patio/pool Enclosure - Full Screen - Frame only,SF,&,$3.71,
PESF-,Patio/pool Enclosure - Full Screen - Frame only - Standard,SF,&,$2.68,
PESF+,Patio/pool Enclosure - Full Screen - Frame only - High gr.,SF,&,$5.64,
PESR,Patio/pool Enclosure - Rescreen,SF,&,$1.09,
PESR+,Patio/pool Enclosure - Rescreen - Heavy duty solar screen,SF,&,$1.77,
POSTA,Patio Post - Aluminum tube,LF,&,$7.03,
POSTS,Patio Post - Steel Tube,LF,&,$13.69,
POSTSC,Patio Post - Scrolled,LF,&,$12.41,
SUN,Sunroom / Garden Room kit - over 180 SF,SF,&,$62.48,
SUN<,Sunroom / Garden Room kit - under 180 SF,SF,&,$73.75,
WINA,Awning - Window/door - Aluminum or steel,LF,&,$59.20,
WINA+,Awning - Window/door - Alum./steel - High grade,LF,&,$69.20,
WINA>,Awning - Window/door - Alum./stl. (Oversized),LF,&,$78.34,
WINA>+,Awning - Window/door - Alum./stl. - High grade (Oversized),LF,&,$103.34,
WINA>RS,Awning - Aluminum/steel (Oversized) - Detach & reset,LF,#ERROR!,$23.42,
WINACLR,Awning - Aluminum or steel - Add for each color stripe,EA,#ERROR!,$5.50,
WINARS,Awning - Aluminum/steel - Detach & reset,LF,#ERROR!,$20.58,
WINASP,Awning side panels - Alum./steel (PER SET),EA,&,$57.62,
WINASP>,Awning side panels - Alum./steel (Oversized) (PER SET),EA,&,$99.62,
WINC,Awning - Window/door - Canvas (fixed),LF,&,$96.09,
WINC+,Awning - Window/door - Canvas (retractable),LF,&,$141.19,
WINCM,Awning - canvas (retractable) - Add to motorize,EA,#ERROR!,$634.99,
WINCRS,Awning - Canvas - Detach & reset,LF,#ERROR!,$12.44,
WINV,Awning - Window/door - Vinyl (backlit type),LF,&,$173.42,
WINVRS,Awning - Vinyl - Detach & reset,LF,#ERROR!,$20.58,